               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.018076,           0.0090839,                   0,             0.97585,             0.98551,             0.98991,             0.72741,            0.020178,           0.0062979,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.017248,           0.0087958,                   0,             0.97791,             0.98913,             0.99144,             0.72822,            0.020303,           0.0063315,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.017369,           0.0089385,                   0,             0.97759,              0.9837,             0.98987,             0.71839,            0.020953,           0.0064169,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.017231,           0.0086631,                   0,             0.97658,             0.98218,             0.99066,             0.73082,            0.020322,           0.0065577,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.017135,           0.0088452,                   0,             0.97502,              0.9837,             0.98851,              0.7302,            0.020364,           0.0064194,                   0,            0.005776,            0.005776,            0.005776
                  66,             0.01732,           0.0087652,                   0,             0.97834,             0.98188,             0.98952,             0.72406,            0.020741,           0.0064515,                   0,             0.00571,             0.00571,             0.00571
                  67,             0.01699,           0.0088096,                   0,               0.977,             0.97645,             0.98972,             0.72686,            0.020649,           0.0065153,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.017052,           0.0087774,                   0,             0.98014,             0.98349,             0.99005,             0.72615,            0.020922,           0.0064894,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.016722,           0.0085567,                   0,             0.98006,             0.97953,             0.99077,             0.74095,            0.019916,           0.0064296,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.017125,           0.0087562,                   0,             0.97357,              0.9837,             0.99015,             0.74292,            0.019667,            0.006425,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.016688,           0.0085743,                   0,             0.97425,             0.98188,             0.99203,             0.73979,            0.020354,           0.0065016,                   0,             0.00538,             0.00538,             0.00538
                  72,             0.01651,           0.0084855,                   0,              0.9748,             0.98113,             0.98857,             0.73127,            0.020189,           0.0064544,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.016541,           0.0085979,                   0,             0.98137,              0.9692,             0.99017,             0.73907,            0.019986,           0.0065135,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.016543,           0.0083184,                   0,              0.9835,             0.97156,             0.98949,             0.73953,            0.019834,           0.0064696,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.016387,           0.0085577,                   0,             0.97993,             0.97298,             0.98936,             0.74431,             0.01975,           0.0065479,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.016383,           0.0083081,                   0,             0.97302,             0.98017,             0.99127,             0.73004,            0.020399,           0.0065291,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.016226,           0.0083306,                   0,             0.97764,             0.98007,             0.99101,             0.73787,            0.020052,           0.0065638,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.016093,           0.0082874,                   0,             0.97829,             0.97958,             0.98965,              0.7411,            0.019915,           0.0065168,                   0,            0.004918,            0.004918,            0.004918
